iter	Passed	Remaining
0	6	1820
1	11	1650
2	16	1602
3	21	1575
4	26	1560
5	31	1542
6	36	1523
7	41	1513
8	46	1509
9	51	1506
10	57	1510
11	62	1501
12	67	1497
13	73	1494
14	78	1490
15	83	1485
16	88	1480
17	94	1474
18	99	1468
19	104	1465
20	109	1458
21	114	1453
22	120	1450
23	125	1445
24	130	1439
25	136	1438
26	141	1432
27	146	1427
28	152	1422
29	157	1415
30	162	1409
31	167	1404
32	172	1399
33	178	1392
34	183	1387
35	188	1382
36	193	1378
37	198	1371
38	204	1365
39	209	1362
40	214	1357
41	219	1350
42	225	1346
43	230	1340
44	235	1333
45	240	1329
46	245	1324
47	251	1319
48	256	1314
49	261	1308
50	267	1303
51	272	1298
52	277	1293
53	282	1287
54	287	1282
55	293	1278
56	299	1275
57	305	1273
58	310	1270
59	316	1265
60	321	1261
61	326	1255
62	332	1249
63	337	1243
64	342	1237
65	347	1231
66	352	1226
67	358	1221
68	363	1216
69	368	1212
70	374	1206
71	379	1201
72	385	1198
73	390	1192
74	396	1188
75	401	1182
76	406	1177
77	411	1172
78	417	1166
79	422	1161
80	428	1157
81	433	1152
82	438	1147
83	444	1142
84	449	1136
85	454	1131
86	460	1126
87	465	1121
88	470	1116
89	476	1110
90	481	1105
91	486	1100
92	492	1095
93	497	1090
94	502	1084
95	508	1079
96	513	1073
97	518	1068
98	523	1063
99	528	1057
100	534	1052
101	539	1047
102	544	1041
103	549	1035
104	554	1030
105	560	1025
106	565	1019
107	566	1007
108	571	1001
109	577	996
110	582	991
111	587	985
112	592	980
113	597	975
114	603	970
115	608	965
116	613	959
117	618	954
118	624	949
119	629	943
120	634	938
121	639	933
122	645	928
123	650	923
124	655	917
125	660	912
126	665	907
127	671	901
128	676	896
129	681	891
130	686	885
131	691	880
132	697	875
133	702	869
134	707	864
135	712	859
136	717	854
137	723	848
138	728	843
139	733	838
140	738	832
141	743	827
142	748	822
143	754	816
144	759	811
145	764	806
146	769	801
147	775	796
148	780	791
149	785	785
150	791	780
151	796	775
152	801	770
153	806	764
154	811	759
155	817	754
156	822	749
157	827	743
158	832	738
159	837	733
160	842	727
161	848	722
162	853	717
163	858	711
164	863	706
165	868	701
166	873	695
167	878	690
168	884	685
169	889	680
170	894	674
171	899	669
172	904	664
173	910	659
174	915	653
175	920	648
176	925	643
177	931	638
178	936	633
179	941	627
180	946	622
181	951	617
182	957	612
183	962	606
184	967	601
185	972	596
186	978	591
187	983	585
188	988	580
189	993	575
190	999	570
191	1004	564
192	1009	559
193	1014	554
194	1019	549
195	1025	543
196	1030	538
197	1035	533
198	1040	528
199	1046	523
200	1051	517
201	1056	512
202	1061	507
203	1066	502
204	1071	496
205	1077	491
206	1082	486
207	1087	481
208	1092	475
209	1097	470
210	1103	465
211	1108	459
212	1113	454
213	1118	449
214	1123	444
215	1128	438
216	1134	433
217	1139	428
218	1144	423
219	1149	417
220	1154	412
221	1159	407
222	1165	402
223	1170	397
224	1175	391
225	1181	386
226	1186	381
227	1191	376
228	1196	371
229	1201	365
230	1207	360
231	1212	355
232	1217	350
233	1222	344
234	1227	339
235	1233	334
236	1238	329
237	1243	323
238	1248	318
239	1253	313
240	1259	308
241	1264	302
242	1269	297
243	1274	292
244	1280	287
245	1285	282
246	1291	277
247	1296	271
248	1301	266
249	1307	261
250	1312	256
251	1318	251
252	1323	245
253	1328	240
254	1334	235
255	1339	230
256	1344	224
257	1349	219
258	1355	214
259	1360	209
260	1365	204
261	1370	198
262	1375	193
263	1381	188
264	1386	183
265	1391	177
266	1397	172
267	1402	167
268	1407	162
269	1412	156
270	1418	151
271	1423	146
272	1428	141
273	1433	136
274	1438	130
275	1443	125
276	1448	120
277	1454	115
278	1459	109
279	1464	104
280	1469	99
281	1475	94
282	1480	88
283	1485	83
284	1490	78
285	1496	73
286	1501	67
287	1506	62
288	1511	57
289	1516	52
290	1521	47
291	1527	41
292	1532	36
293	1537	31
294	1543	26
295	1548	20
296	1554	15
297	1559	10
298	1564	5
299	1570	0
